timestamp_actual,operation,operationCount
2015-10-02 21:06:40.000,scroll_down,1902
2015-10-02 23:53:20.000,scroll_up,30
2015-10-02 23:53:20.000,scroll_down,31
2015-10-02 23:53:20.000,select,2
2015-10-02 23:53:20.000,target_clicked,7
2015-10-03 02:40:00.000,scroll_up,68
2015-10-03 02:40:00.000,scroll_down,582
2015-10-03 02:40:00.000,target_clicked,3
2015-10-03 05:26:40.000,target_clicked,2
2015-10-03 05:26:40.000,scroll_up,48
2015-10-03 05:26:40.000,select,1
2015-10-03 05:26:40.000,scroll_down,171
2015-10-03 08:13:20.000,scroll_up,52
2015-10-03 08:13:20.000,target_clicked,7
2015-10-03 08:13:20.000,scroll_down,158
2015-10-03 19:20:00.000,scroll_up,100
2015-10-03 19:20:00.000,scroll_down,93
2015-10-03 22:06:40.000,scroll_down,66
2015-10-03 22:06:40.000,scroll_up,58
2015-10-04 00:53:20.000,scroll_down,149
2015-10-04 00:53:20.000,target_clicked,7
2015-10-04 00:53:20.000,scroll_up,107
2015-10-04 03:40:00.000,scroll_down,2934
2015-10-04 03:40:00.000,scroll_up,193
2015-10-04 03:40:00.000,target_clicked,2
2015-10-04 06:26:40.000,scroll_down,1367
2015-10-04 06:26:40.000,target_clicked,3
2015-10-04 06:26:40.000,scroll_up,110
2015-10-04 17:33:20.000,scroll_up,513
2015-10-04 17:33:20.000,scroll_down,1769
2015-10-04 20:20:00.000,target_clicked,3
2015-10-04 20:20:00.000,scroll_down,15
2015-10-04 20:20:00.000,scroll_up,16
2015-10-04 23:06:40.000,select,25
2015-10-04 23:06:40.000,target_clicked,29
2015-10-04 23:06:40.000,scroll_down,99
2015-10-04 23:06:40.000,scroll_up,21
2015-10-05 01:53:20.000,select,19
2015-10-05 01:53:20.000,scroll_up,125
2015-10-05 01:53:20.000,target_clicked,25
2015-10-05 01:53:20.000,scroll_down,177
2015-10-05 04:40:00.000,scroll_up,74
2015-10-05 04:40:00.000,scroll_down,289
2015-10-05 04:40:00.000,target_clicked,5
2015-10-05 04:40:00.000,select,2
2015-10-05 07:26:40.000,select,4
2015-10-05 07:26:40.000,scroll_up,671
2015-10-05 07:26:40.000,scroll_down,1074
2015-10-05 07:26:40.000,target_clicked,15
2015-10-05 18:33:20.000,scroll_down,1541
2015-10-05 18:33:20.000,select,4
2015-10-05 18:33:20.000,scroll_up,149
2015-10-05 18:33:20.000,target_clicked,5
2015-10-05 21:20:00.000,scroll_down,9718
2015-10-05 21:20:00.000,scroll_up,2039
2015-10-05 21:20:00.000,select,3
2015-10-05 21:20:00.000,target_clicked,25
2015-10-06 00:06:40.000,scroll_up,89
2015-10-06 00:06:40.000,select,1
2015-10-06 00:06:40.000,scroll_down,2203
2015-10-06 00:06:40.000,target_clicked,3
2015-10-06 02:53:20.000,scroll_down,3100
2015-10-06 02:53:20.000,select,4
2015-10-06 02:53:20.000,target_clicked,34
2015-10-06 02:53:20.000,scroll_up,1947
2015-10-06 05:40:00.000,scroll_down,133
2015-10-06 05:40:00.000,scroll_up,3
2015-10-06 08:26:40.000,scroll_up,222
2015-10-06 08:26:40.000,select,1
2015-10-06 08:26:40.000,target_clicked,5
2015-10-06 08:26:40.000,scroll_down,689
2015-10-06 11:13:20.000,scroll_up,156
2015-10-06 11:13:20.000,target_clicked,2
